SAMPLE_POINT_ID,COLLECTION_DATE,Convert Date,Concantenate (Fake Year),Convert to Date Format (Fake Year),,RESULT,COLLECTION_TIME,SAMPLER,ENTRY_DATE,ANALYSIS_DATE,ANALYTE,STATUS,RESULT,UNITS,SAMPLE_ID,LAB_NAME,ANALYST,SAMPLE_TYPE
142A,01-AUG-11,08/01/11,8-1-2015,Err:502,30.5,30.5,08:45,ACS,16-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,30.5,MG/L,200335309,,WWUNAA,PR OILTPH 01
142A,08-AUG-11,08/08/11,8-8-2015,Err:502,54,54,09:10,ACS,26-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,54,MG/L,200335677,,WWUNAA,PR OILTPH 01
142A,15-AUG-11,08/15/11,8-15-2015,Err:502,21.4,21.4,11:30,ACS,08-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,21.4,MG/L,200336025,,WWUNAA,PR OILTPH 01
142A,22-AUG-11,08/22/11,8-22-2015,Err:502,20,20,9:15,ACS,02-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200336381,,WWUAKS,PR OILTPH 01
142A,29-AUG-11,08/29/11,8-29-2015,Err:502,35,35,08:30,ACS,14-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,35,MG/L,200336741,,WWUNAA,PR OILTPH 01
142A,06-SEP-11,09/06/11,9-6-2015,Err:502,13.9,13.9,11:45,ACS,25-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,13.9,MG/L,200337001,,WWUAKS,PR OILTPH 01
142A,12-SEP-11,09/12/11,9-12-2015,Err:502,20,20,08:40,ACS,27-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200337309,,WWUNAA,PR OILTPH 01
142A,19-SEP-11,09/19/11,9-19-2015,Err:502,25,25,09:30,ACS,13-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,25,MG/L,200337650,,WWUNAA,PR OILTPH 01
142A,26-SEP-11,09/26/11,9-26-2015,Err:502,13.8,13.8,09:35,ACS,13-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,13.8,MG/L,200338020,,WWUNAA,PR OILTPH 01
142A,03-OCT-11,10/03/11,10-3-2015,Err:502,18,18,08:55,ACS,17-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200338336,,WWUNAA,PR OILTPH 01
142A,10-OCT-11,10/10/11,10-10-2015,Err:502,9.1,9.1,12:40,ACS,25-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,9.1,MG/L,200338883,,WWUNAA,PR OILTPH 01
142A,18-OCT-11,10/18/11,10-18-2015,Err:502,31,31,09:55,JDG,22-NOV-11,,HEM - SGT HEM (Oil and Grease),APPROVED,31,MG/L,200339323,,WWUAKS,PR OILTPH 01
142A,24-OCT-11,10/24/11,10-24-2015,Err:502,19,19,09:20,ACS,08-NOV-11,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200339644,,WWUAKS,PR OILTPH 01
142A,01-NOV-11,11/01/11,11-1-2015,Err:502,21,21,09:20,ACS,08-NOV-11,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200340033,,WWUAKS,PR OILTPH 01
142A,07-NOV-11,11/07/11,11-7-2015,Err:502,14,14,10:10,ACS,22-NOV-11,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200340449,,WWUNAA,PR OILTPH 01
142A,14-NOV-11,11/14/11,11-14-2015,Err:502,20.8,20.8,09:10,ACS,07-DEC-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20.8,MG/L,200340827,,WWUAKS,PR OILTPH 01
142A,21-NOV-11,11/21/11,11-21-2015,Err:502,12.6,12.6,09:05,ACS,30-NOV-11,,HEM - SGT HEM (Oil and Grease),APPROVED,12.6,MG/L,200341300,,WWUAKS,PR OILTPH 01
142A,28-NOV-11,11/28/11,11-28-2015,Err:502,17.3,17.3,10:05,ACS,12-DEC-11,,HEM - SGT HEM (Oil and Grease),APPROVED,17.3,MG/L,200341585,,WWUAKS,PR OILTPH 01
142A,05-DEC-11,12/05/11,12-5-2015,Err:502,33,33,09:35,ACS,21-DEC-11,,HEM - SGT HEM (Oil and Grease),APPROVED,33,MG/L,200341893,,WWUAKS,PR OILTPH 01
142A,12-DEC-11,12/12/11,12-12-2015,Err:502,19,19,09:30,ACS,21-DEC-11,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200342292,,WWUAKS,PR OILTPH 01
142A,19-DEC-11,12/19/11,12-19-2015,Err:502,14.1,14.1,09:20,ACS,30-DEC-11,,HEM - SGT HEM (Oil and Grease),APPROVED,14.1,MG/L,200342712,,WWUAKS,PR OILTPH 01
142A,04-JAN-12,01/04/12,1-4-2015,Err:502,33,33,08:35,ACS,12-JAN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,33,MG/L,200343500,,WWUAKS,PR OILTPH 01
142A,09-JAN-12,01/09/12,1-9-2015,Err:502,20.2,20.2,09:50,ACS,27-JAN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,20.2,MG/L,200343758,,WWUAKS,PR OILTPH 01
142A,17-JAN-12,01/17/12,1-17-2015,Err:502,31,31,08:40,ACS,03-FEB-12,,HEM - SGT HEM (Oil and Grease),APPROVED,31,MG/L,200344220,,WWUAKS,PR OILTPH 01
142A,23-JAN-12,01/23/12,1-23-2015,Err:502,26.9,26.9,09:20,ACS,06-FEB-12,,HEM - SGT HEM (Oil and Grease),APPROVED,26.9,MG/L,200344585,,WWUAKS,PR OILTPH 01
142A,01-FEB-12,02/01/12,2-1-2015,Err:502,17,17,10:15,ACS,24-FEB-12,,HEM - SGT HEM (Oil and Grease),APPROVED,17,MG/L,200345063,,WWUAKS,PR OILTPH 01
142A,06-FEB-12,02/06/12,2-6-2015,Err:502,7.9,7.9,09:00,ACS,23-FEB-12,,HEM - SGT HEM (Oil and Grease),APPROVED,7.9,MG/L,200345318,,WWUAKS,PR OILTPH 01
142A,16-FEB-12,02/16/12,2-16-2015,Err:502,22,22,11:45,SAM,01-MAR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200345923,,WWUAKS,PR OILTPH 01
142A,22-FEB-12,02/22/12,2-22-2015,Err:502,14.5,14.5,09:45,ACS,09-MAR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,14.5,MG/L,200346217,,WWUAKS,PR OILTPH 01
142A,27-FEB-12,02/27/12,2-27-2015,Err:502,8.3,8.3,09:40,ACS,14-MAR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,8.3,MG/L,200346529,,WWUAKS,PR OILTPH 01
142A,06-MAR-12,03/06/12,3-6-2015,Err:502,19,19,11:00,ACS,27-MAR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200346951,,WWUAKS,PR OILTPH 01
142A,12-MAR-12,03/12/12,3-12-2015,Err:502,27,27,09:10,ACS,27-MAR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,27,MG/L,200347271,,WWUAKS,PR OILTPH 01
142A,19-MAR-12,03/19/12,3-19-2015,Err:502,32,32,08:20,ACS,02-APR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,32,MG/L,200347676,,WWUAKS,PR OILTPH 01
142A,26-MAR-12,03/26/12,3-26-2015,Err:502,13,13,08:55,ACS,05-APR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,13,MG/L,200348064,,WWUAKS,PR OILTPH 01
142A,03-APR-12,04/03/12,4-3-2015,Err:502,15.8,15.8,11:55,ACS,23-APR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,15.8,MG/L,200348497,,WWUAKS,PR OILTPH 01
142A,09-APR-12,04/09/12,4-9-2015,Err:502,25,25,11:05,ACS,26-APR-12,,HEM - SGT HEM (Oil and Grease),APPROVED,25,MG/L,200348837,,WWUAKS,PR OILTPH 01
142A,16-APR-12,04/16/12,4-16-2015,Err:502,44,44,9:55,ACS,03-MAY-12,,HEM - SGT HEM (Oil and Grease),APPROVED,44,MG/L,200349252,,WWUAKS,PR OILTPH 01
142A,23-APR-12,04/23/12,4-23-2015,Err:502,27.8,27.8,9:00,ACS,14-MAY-12,,HEM - SGT HEM (Oil and Grease),APPROVED,27.8,MG/L,200349670,,WWUAKS,PR OILTPH 01
142A,02-MAY-12,05/02/12,5-2-2015,Err:502,15,15,09:35,ACS,09-MAY-12,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200350192,,WWUAKS,PR OILTPH 01
142A,07-MAY-12,05/07/12,5-7-2015,Err:502,38,38,09:15,ACS,04-JUN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,38,MG/L,200350480,,WWUAKS,PR OILTPH 01
142A,14-MAY-12,05/14/12,5-14-2015,Err:502,12,12,13:15,ACS,22-MAY-12,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200350884,,WWUAKS,PR OILTPH 01
142A,21-MAY-12,05/21/12,5-21-2015,Err:502,44,44,10:45,ACS,24-MAY-12,,HEM - SGT HEM (Oil and Grease),APPROVED,44,MG/L,200351272,,WWUAKS,PR OILTPH 01
142A,30-MAY-12,05/30/12,5-30-2015,Err:502,25.3,25.3,08:55,ACS,15-JUN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,25.3,MG/L,200351716,,WWUAKS,PR OILTPH 01
142A,04-JUN-12,06/04/12,6-4-2015,Err:502,27,27,13:10,ACS,29-JUN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,27,MG/L,200351964,,WWUAKS,PR OILTPH 01
142A,11-JUN-12,06/11/12,6-11-2015,Err:502,14.5,14.5,08:40,ACS,22-JUN-12,,HEM - SGT HEM (Oil and Grease),APPROVED,14.5,MG/L,200352335,,WWUNAA,PR OILTPH 01
142A,18-JUN-12,06/18/12,6-18-2015,Err:502,14,14,12:40,ACS,09-JUL-12,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200352747,,WWUAKS,PR OILTPH 01
142A,25-JUN-12,06/25/12,6-25-2015,Err:502,6.4,6.4,08:50,ACS,05-JUL-12,,HEM - SGT HEM (Oil and Grease),APPROVED,6.4,MG/L,200353208,,WWUAKS,PR OILTPH 01
142A,02-JUL-12,07/02/12,7-2-2015,Err:502,16,16,10:45,SAM,26-JUL-12,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200353651,,WWUAKS,PR OILTPH 01
142A,09-JUL-12,07/09/12,7-9-2015,Err:502,12,12,11:45,SAM,19-JUL-12,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200353987,,WWUAKS,PR OILTPH 01
142A,16-JUL-12,07/16/12,7-16-2015,Err:502,16,16,15:30,SAM,10-SEP-12,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200354428,,WWUNAA,PR OILTPH 01
142A,23-JUL-12,07/23/12,7-23-2015,Err:502,5.9,5.9,10:00,SAM,31-JUL-12,,HEM - SGT HEM (Oil and Grease),APPROVED,5.9,MG/L,200354840,,WWUAKS,PR OILTPH 01
142A,30-JUL-12,07/30/12,7-30-2015,Err:502,18,18,09:00,SAM,20-AUG-12,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200355211,,WWUAKS,PR OILTPH 01
142A,06-AUG-12,08/06/12,8-6-2015,Err:502,18,18,09:40,ACM,10-SEP-12,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200355542,,WWUNAA,PR OILTPH 01
142A,13-AUG-12,08/13/12,8-13-2015,Err:502,5.7,5.7,10:20,SAM,10-SEP-12,,HEM - SGT HEM (Oil and Grease),APPROVED,5.7,MG/L,200355954,,WWUNAA,PR OILTPH 01
142A,20-AUG-12,08/20/12,8-20-2015,Err:502,14,14,12:25,SAM,31-AUG-12,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200356554,,WWUNAA,PR OILTPH 01
142A,04-SEP-12,09/04/12,9-4-2015,Err:502,12.1,12.1,10:20,SAM,24-SEP-12,,HEM - SGT HEM (Oil and Grease),APPROVED,12.1,MG/L,200357321,,WWUNAA,PR OILTPH 01
142A,10-SEP-12,09/10/12,9-10-2015,Err:502,9.8,9.8,13:30,SAM,31-OCT-12,,HEM - SGT HEM (Oil and Grease),APPROVED,9.8,MG/L,200357692,,WWURXF,PR OILTPH 01
142A,18-SEP-12,09/18/12,9-18-2015,Err:502,9,9,10:30,SAM,12-OCT-12,,HEM - SGT HEM (Oil and Grease),APPROVED,9,MG/L,200358145,,WWUNAA,PR OILTPH 01
142A,24-SEP-12,09/24/12,9-24-2015,Err:502,9.4,9.4,12:05,ACS,23-OCT-12,,HEM - SGT HEM (Oil and Grease),APPROVED,9.4,MG/L,200358533,,WWUNAA,PR OILTPH 01
142A,03-OCT-12,10/03/12,10-3-2015,Err:502,9.3,9.3,10:10,SAM,23-OCT-12,,HEM - SGT HEM (Oil and Grease),APPROVED,9.3,MG/L,200359015,,WWUNAA,PR OILTPH 01
142A,08-OCT-12,10/08/12,10-8-2015,Err:502,22,22,10:40,SAM,22-OCT-12,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200359288,,WWUNAA,PR OILTPH 01
142A,17-OCT-12,10/17/12,10-17-2015,Err:502,15,15,09:55,SAM,08-NOV-12,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200359875,,WWUNAA,PR OILTPH 01
142A,22-OCT-12,10/22/12,10-22-2015,Err:502,9.7,9.7,14:40,SAM,05-NOV-12,,HEM - SGT HEM (Oil and Grease),APPROVED,9.7,MG/L,200360123,,WWUNAA,PR OILTPH 01
142A,29-OCT-12,10/29/12,10-29-2015,Err:502,14,14,12:50,SAM,18-NOV-12,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200360521,,WWUNAA,PR OILTPH 01
142A,05-NOV-12,11/05/12,11-5-2015,Err:502,15,15,14:00,SAM,05-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200360889,,WWUNAA,PR OILTPH 01
142A,14-NOV-12,11/14/12,11-14-2015,Err:502,7.9,7.9,10:45,SAM,26-NOV-12,,HEM - SGT HEM (Oil and Grease),APPROVED,7.9,MG/L,200361379,,WWURXF,PR OILTPH 01
142A,19-NOV-12,11/19/12,11-19-2015,Err:502,27,27,12:40,SAM,07-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,27,MG/L,200361670,,WWUNAA,PR OILTPH 01
142A,26-NOV-12,11/26/12,11-26-2015,Err:502,70.3,70.3,11:05,SAM,04-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,70.3,MG/L,200361964,,WWUNAA,PR OILTPH 01
142A,03-DEC-12,12/03/12,12-3-2015,Err:502,11,11,11:10,SAM,19-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200362300,,WWUNAA,PR OILTPH 01
142A,10-DEC-12,12/10/12,12-10-2015,Err:502,18.6,18.6,12:10,SAM,20-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,18.6,MG/L,200362695,,WWUNAA,PR OILTPH 01
142A,17-DEC-12,12/17/12,12-17-2015,Err:502,8,8,11:50,SAM,27-DEC-12,,HEM - SGT HEM (Oil and Grease),APPROVED,8,MG/L,200363133,,WWUNAA,PR OILTPH 01
142A,24-DEC-12,12/24/12,12-24-2015,Err:502,13,13,10:30,SAM,03-JAN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,13,MG/L,200363511,,WWUNAA,PR OILTPH 01
142A,02-JAN-13,01/02/13,1-2-2015,Err:502,16,16,10:00,SAM,10-JAN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200363866,,WWURXF,PR OILTPH 01
142A,07-JAN-13,01/07/13,1-7-2015,Err:502,11,11,13:25,SAM,30-JAN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200364118,,WWUNAA,PR OILTPH 01
142A,16-JAN-13,01/16/13,1-16-2015,Err:502,11,11,9:00,SAM,31-JAN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200364695,,WWUNAA,PR OILTPH 01
142A,23-JAN-13,01/23/13,1-23-2015,Err:502,19,19,11:45,SAM,30-JAN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200365031,,WWUNAA,PR OILTPH 01
142A,28-JAN-13,01/28/13,1-28-2015,Err:502,16,16,11:15,SAM,15-FEB-13,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200365313,,WWUNAA,PR OILTPH 01
142A,04-FEB-13,02/04/13,2-4-2015,Err:502,19,19,13:00,SAM,27-FEB-13,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200365643,,WWUNAA,PR OILTPH 01
142A,20-FEB-13,02/20/13,2-20-2015,Err:502,17.6,17.6,11:00,SAM,08-MAR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,17.6,MG/L,200366584,,WWUNAA,PR OILTPH 01
142A,25-FEB-13,02/25/13,2-25-2015,Err:502,9,9,11:40,SAM,15-MAR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,9,MG/L,200366864,,WWUNAA,PR OILTPH 01
142A,04-MAR-13,03/04/13,3-4-2015,Err:502,30,30,11:05,SAM,01-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,30,MG/L,200367227,,WWUNAA,PR OILTPH 01
142A,11-MAR-13,03/11/13,3-11-2015,Err:502,44,44,11:00,SAM,01-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,44,MG/L,200367640,,WWUNAA,PR OILTPH 01
142A,18-MAR-13,03/18/13,3-18-2015,Err:502,41.1,41.1,11:15,SAM,05-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,41.1,MG/L,200368088,,WWUNAA,PR OILTPH 01
142A,27-MAR-13,03/27/13,3-27-2015,Err:502,22.4,22.4,12:25,ACM,10-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,22.4,MG/L,200368606,,WWURAP,PR OILTPH 01
142A,02-APR-13,04/02/13,4-2-2015,Err:502,29,29,10:50,SAM,24-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,29,MG/L,200368895,,WWURAP,PR OILTPH 01
142A,10-APR-13,04/10/13,4-10-2015,Err:502,5,<5.5,10:00,SAM,28-APR-13,,HEM - SGT HEM (Oil and Grease),APPROVED,<5.5,MG/L,200369379,,WWURAP,PR OILTPH 01
142A,17-APR-13,04/17/13,4-17-2015,Err:502,13,13,10:45,SAM,12-MAY-13,,HEM - SGT HEM (Oil and Grease),APPROVED,13,MG/L,200369890,,WWURAP,PR OILTPH 01
142A,24-APR-13,04/24/13,4-24-2015,Err:502,25,25,10:00,SAM,15-MAY-13,,HEM - SGT HEM (Oil and Grease),APPROVED,25,MG/L,200370361,,WWURAP,PR OILTPH 01
142A,01-MAY-13,05/01/13,5-1-2015,Err:502,12.2,12.2,10:30,SAM,19-MAY-13,,HEM - SGT HEM (Oil and Grease),APPROVED,12.2,MG/L,200370776,,WWURAP,PR OILTPH 01
142A,08-MAY-13,05/08/13,5-8-2015,Err:502,21,21,09:00,ACS,05-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200371217,,WWURAP,PR OILTPH 01
142A,15-MAY-13,05/15/13,5-15-2015,Err:502,17,17,11:05,SAM,05-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,17,MG/L,200371676,,WWURAP,PR OILTPH 01
142A,22-MAY-13,05/22/13,5-22-2015,Err:502,18.2,18.2,11:00,ACS,02-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,18.2,MG/L,200372085,,WWURAP,PR OILTPH 01
142A,29-MAY-13,05/29/13,5-29-2015,Err:502,15,15,09:15,ACS,09-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200372417,,WWURAP,PR OILTPH 01
142A,30-MAY-13,05/30/13,5-30-2015,Err:502,13.7,13.7,09:00,ACS,09-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,13.7,MG/L,200372483,WQL,WWURAP,PR ADHOC  01
142A,05-JUN-13,06/05/13,6-5-2015,Err:502,9.3,9.3,10:35,JDG,23-JUN-13,,HEM - SGT HEM (Oil and Grease),APPROVED,9.3,MG/L,200372818,,WWURAP,PR OILTPH 01
142A,12-JUN-13,06/12/13,6-12-2015,Err:502,16.6,16.6,15:10,JDG,08-JUL-13,,HEM - SGT HEM (Oil and Grease),APPROVED,16.6,MG/L,200373273,,WWURAP,PR OILTPH 01
142A,19-JUN-13,06/19/13,6-19-2015,Err:502,10.7,10.7,11:50,JDG,16-JUL-13,,HEM - SGT HEM (Oil and Grease),APPROVED,10.7,MG/L,200373650,,WWURAP,PR OILTPH 01
142A,25-JUN-13,06/25/13,6-25-2015,Err:502,23,23,12:30,JDG,08-JUL-13,,HEM - SGT HEM (Oil and Grease),APPROVED,23,MG/L,200374024,,WWURAP,PR OILTPH 01
142A,02-JUL-13,07/02/13,7-2-2015,Err:502,12,12,11:20,ACM,18-JUL-13,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200374529,,WWURAP,PR OILTPH 01
142A,17-JUL-13,07/17/13,7-17-2015,Err:502,11,11,13:35,ACM,29-JUL-13,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200375526,,WWURAP,PR OILTPH 01
142A,23-JUL-13,07/23/13,7-23-2015,Err:502,9.9,9.9,11:25,ACM,15-AUG-13,,HEM - SGT HEM (Oil and Grease),APPROVED,9.9,MG/L,200375880,,WWURAP,PR OILTPH 01
142A,31-JUL-13,07/31/13,7-31-2015,Err:502,7.2,7.2,08:50,ACS,14-AUG-13,,HEM - SGT HEM (Oil and Grease),APPROVED,7.2,MG/L,200376404,,WWURAP,PR OILTPH 01
142A,07-AUG-13,08/07/13,8-7-2015,Err:502,12.9,12.9,08:20,ACS,28-AUG-13,,HEM - SGT HEM (Oil and Grease),APPROVED,12.9,MG/L,200376810,,WWURAP,PR OILTPH 01
142A,13-AUG-13,08/13/13,8-13-2015,Err:502,13,13,10:30,ACS,09-SEP-13,,HEM - SGT HEM (Oil and Grease),APPROVED,13,MG/L,200377184,,WWURAP,PR OILTPH 01
142A,20-AUG-13,08/20/13,8-20-2015,Err:502,10.3,10.3,11:20,ACS,10-SEP-13,,HEM - SGT HEM (Oil and Grease),APPROVED,10.3,MG/L,200377653,,WWURAP,PR OILTPH 01
142A,27-AUG-13,08/27/13,8-27-2015,Err:502,9,9,09:30,ACS,12-SEP-13,,HEM - SGT HEM (Oil and Grease),APPROVED,9,MG/L,200378131,,WWURAP,PR OILTPH 01
142A,04-SEP-13,09/04/13,9-4-2015,Err:502,8,8,09:40,ACS,16-SEP-13,,HEM - SGT HEM (Oil and Grease),APPROVED,8,MG/L,200378577,,WWURAP,PR OILTPH 01
142A,10-SEP-13,09/10/13,9-10-2015,Err:502,33,33,09:50,JDG,27-SEP-13,,HEM - SGT HEM (Oil and Grease),APPROVED,33,MG/L,200379114,,WWUNAA,PR OILTPH 01
142A,17-SEP-13,09/17/13,9-17-2015,Err:502,9.1,9.1,12:50,ACS,10-OCT-13,,HEM - SGT HEM (Oil and Grease),APPROVED,9.1,MG/L,200379691,,WWURAP,PR OILTPH 01
142A,24-SEP-13,09/24/13,9-24-2015,Err:502,11,11,08:25,ACS,15-OCT-13,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200380186,,WWURAP,PR OILTPH 01
